ID,SKU,Manufacturer,Model,Variant,Network,Capacity,Color,Grade,Damages,Weight,Weight Unit
2568273,IPHONE13MINIA2481128REDB,Apple,iPhone 13 mini,A2481,Wi-Fi,128GB,Red,B Grade,"",,
2607635,IPADAIR4THGEA231664GROSEA,Apple,iPad Air 4th Gen,A2316,Wi-Fi,64GB,Rose Gold,A Grade,"",,
2634743,IPHONE11A211164GBLACB,Apple,iPhone 11,A2111,Unlocked,64GB,Black,B Grade,"",,
2634744,IPHONE7A177832GBLACB,Apple,iPhone 7,A1778,Unlocked,32GB,Black,B Grade,"",,
2634745,IPHONE7A177832GBLACC,Apple,iPhone 7,A1778,Unlocked,32GB,Black,C Grade,"",,
2634746,IPHONESEA166264GBLACD,Apple,iPhone SE,A1662,Unlocked,64GB,Black,D Grade,"",,
2634747,IPHONEXA1865256BLACD,Apple,iPhone X,A1865,Unlocked,256GB,Black,D Grade,"",,
2634751,WATCHSE240MMGPS+LTEN/ABLACO,Apple,Watch SE 2,40MM GPS + LTE,Wi-Fi,N/A,Black,OPEN BOX,"",,
2634872,GALAXYTABA7LSM-T227U32GBLACC,Samsung,Galaxy Tab A7 Lite,SM-T227U,Wi-Fi & Cellular,32GB,Black,C Grade,"",,
2634890,ZFLIP3SM-F711W128BLACA,Samsung,Z Flip 3,SM-F711W,Wi-Fi,128GB,Black,A Grade,"",,
2634893,ZFLIP4AT&TUSASM-721128GREYA,Samsung,Z Flip 4,SM-721,Wi-Fi,128GB,Black,A Grade,"",,
2634895,ZFLIP5SM-F731512BLACC,Samsung,Z Flip 5,SM- F731,Wi-Fi,512GB,Black,C Grade,"",,
2634900,ZFOLD3SM-F926U256BLACA,Samsung,Z Fold 3,SM-F926U,Wi-Fi,256GB,Black,A Grade,"",,
2634901,ZFOLD3SM-F926U512BLACA,Samsung,Z Fold 3,SM-F926U,Wi-Fi,512GB,Black,A Grade,"",,
2634906,IPAD10THGENA269664GBLUEA,Apple,iPad 10th Gen,A2696,Wi-Fi,64GB,Blue,A Grade,"",,
2634908,IPADAIR4THGEA231664GBLUEA,Apple,iPad Air 4th Gen,A2316,Wi-Fi,64GB,Blue,A Grade,"",,
2634944,ZFOLD4SM-F936WZKEXAC256CREAA,Samsung,Z Fold 4,SM-F936WZKEXAC,Wi-Fi,256GB,Cream Beige,A Grade,"",,
2634975,ZFOLD3SM-F926U256GREEA,Samsung,Z Fold 3,SM-F926U,Wi-Fi,256GB,Green,A Grade,"",,
2635000,MAVIC3CLASSIT6-N900N/AGREYA,DJI,Mavic 3 Classic,T6-N900,Wi-Fi,N/A,Grey,A Grade,"",,
2635001,MINI2T6-N9002N/AGREYA,DJI,Mini 2,T6-N9002,Wi-Fi,N/A,Grey,A Grade,"",,
2635011,ZFLIP4SM-721256GREYA,Samsung,Z Flip 4,SM-721,Wi-Fi,256GB,Grey,A Grade,"",,
2635014,ZFOLD4SM-F936WZKEXAC256GREYA,Samsung,Z Fold 4,SM-F936WZKEXAC,Wi-Fi,256GB,Grey,A Grade,"",,
2636256,IPHONE7A177832GBLACA,Apple,iPhone 7,A1778,Unlocked,32GB,Black,A Grade,"",,
2636310,IPHONE7A1778BLACC,Apple,iPhone 7,A1778,Unlocked,32GB,Black,C Grade,Cracked Front Glass,,
2636344,IPHONESE2NDGA2275128REDC,Apple,iPhone SE 2nd Gen,A2275,Unlocked,128GB,Red,C Grade,"",,
2636352,IPHONESE2NDGA2275128REDB,Apple,iPhone SE 2nd Gen,A2275,Unlocked,128GB,Red,B Grade,"",,
2636365,IPHONESE2NDGA2275128BLACC,Apple,iPhone SE 2nd Gen,A2275,Unlocked,128GB,Black,C Grade,"",,
2636366,IPHONESE2NDGA227128BLACB,Apple,iPhone SE 2nd Gen,A2275,Unlocked,128GB,Black,B Grade,"",,
